Year,Name,Chinese Name,JMA ID,"Highest TC Warning Signal Issued During this Passage",Times of Passages,"Issuance Date of First TC Warning Signal During this Passage","Cancellation Date of all TC Warning Signal During this Passage","Duration of all Issued TC Warning Signals During this Passage (hh:mm)","Lifespan Max Intensity Classification","Estimated Min Central Pressure of the TC (hPa) when Closest to HK","Closest Distance to HK (km)","Closest Approach Bearing"
1988,Susan,蘇姍,8802,1,1,31/05/1988,01/06/1988,28:30,T,975,430,SE
1988,Vanessa,雲妮莎,8805,1,1,28/06/1988,29/06/1988,17:30,TS,992,120,WSW
1988,Warren,華倫,8806,3,1,18/07/1988,20/07/1988,42:00,SuperT,980,180,NE
1988,Kit,吉蒂,8821,3,1,21/09/1988,22/09/1988,24:25,T,990,170,NE
1988,Pat,帕特,8827,3,1,21/10/1988,22/10/1988,30:55,T,980,540,SSW
1988,Ruby,露比,8828,3,1,25/10/1988,28/10/1988,60:50,SuperT,975,490,SSW
1989,Brenda,布倫達,8903,8,1,19/05/1989,21/05/1989,46:30,T,970,130,SW
1989,Dot,黛蒂,8905,3,1,08/06/1989,10/06/1989,45:15,T,950,600,SSW
1989,Faye,菲爾,8907,1,1,09/07/1989,10/07/1989,24:10,STS,987,400,SSW
1989,Gordon,戈登,8908,8,1,16/07/1989,18/07/1989,52:00,SuperT,970,190,SSW
1989,Brian,布賴恩,8924,3,1,30/09/1989,02/10/1989,42:50,T,990,270,SSE
1989,Angela,安琪拉,8923,3,1,06/10/1989,09/10/1989,60:55,SuperT,945,460,S
1989,Dan,丹尼,8926,3,1,11/10/1989,13/10/1989,34:30,T,970,650,S
1990,Marian,瑪麗安,9003,3,1,17/05/1990,18/05/1990,26:30,T,980,280,SSE
1990,Nathan,彌敦,9004,3,1,17/06/1990,18/06/1990,18:05,STS,985,390,SW
1990,Percy,珀西,9006,1,1,28/06/1990,29/06/1990,29:30,SuperT,965,350,ENE
1990,Tasha,泰莎,9009,3,1,28/07/1990,31/07/1990,76:10,STS,970,160,ENE
1990,Becky,貝姬,9016,3,1,27/08/1990,28/08/1990,38:10,T,960,510,S
1990,Ed,義德,9018,1,1,14/09/1990,17/09/1990,56:45,T,965,620,SSE
1991,Zeke,澤奇,9106,3,1,12/07/1991,13/07/1991,22:20,T,970,520,SSW
1991,Amy,愛媚,9107,3,1,18/07/1991,20/07/1991,35:25,SuperT,975,190,NE
1991,Brendan,布倫登,9108,8,1,22/07/1991,24/07/1991,41:00,STS,975,80,SSW
1991,Fred,法雷德,9111,3,1,13/08/1991,16/08/1991,53:45,T,960,210,S
1991,Joel,喬爾,9116,3,1,03/09/1991,07/09/1991,83:45,STS,975,110,NE
1991,Nat,納德,9120,1,1,16/09/1991,18/09/1991,39:45,ST,990,530,ESE
1991,Nat,納德,9120,1,2,23/09/1991,25/09/1991,49:00,ST,1000,340,ESE
1991,Nat,納德,9120,1,3,29/09/1991,30/09/1991,24:55,ST,995,340,NE
1992,Chuck,察克,9204,3,1,27/06/1992,28/06/1992,29:10,T,960,600,SW
1992,Eli,艾里,9205,3,1,11/07/1992,13/07/1992,37:15,T,975,480,SW
1992,Faye,菲爾,9206,3,1,17/07/1992,18/07/1992,31:05,TS,995,50,WNW
1992,Gary,加里,9207,8,1,20/07/1992,22/07/1992,44:20,STS,975,290,S
1992,Mark,馬克,9212,1,1,16/08/1992,17/08/1992,25:15,TS,995,260,ENE
1993,Koryn,高蓮,9302,8,1,26/06/1993,28/06/1993,37:05,ST,970,160,SW
1993,Lewis,路易斯,9303,1,1,10/07/1993,10/07/1993,21:55,STS,985,510,SSW
1993,Tasha,泰莎,9309,8,1,18/08/1993,21/08/1993,65:25,T,970,220,SSW
1993,Winona,雲璐娜,9312,1,1,25/08/1993,26/08/1993,17:15,TS,1000,510,S
1993,Abe,艾貝,9315,1,1,12/09/1993,14/09/1993,46:00,ST,995,150,NNE
1993,Becky,貝姬,9316,8,1,16/09/1993,17/09/1993,31:30,STS,980,110,SSW
1993,Dot,黛蒂,9318,8,1,25/09/1993,26/09/1993,25:45,T,1000,150,WNW
1993,no name,無名,NR,1,1,12/10/1993,13/10/1993,24:00,TD,1008,120,SE
1993,Ira,艾拉,9323,3,1,02/11/1993,05/11/1993,56:45,ST,995,250,SW
1994,Russ,羅士,9403,3,1,05/06/1994,07/06/1994,53:35,STS,998,290,S
1994,Sharon,莎朗,9404,1,1,24/06/1994,25/06/1994,19:40,TS,998,250,WNW
1994,Harry,夏里,9418,3,1,25/08/1994,27/08/1994,36:55,STS,994,270,S
1994,Luke,路加,9423,3,1,11/09/1994,12/09/1994,28:00,TS,994,230,SSE
1995,Gary,加里,9504,1,1,28/07/1995,31/07/1995,70:45,STS,980,290,E
1995,Helen,海倫,9505,8,1,09/08/1995,12/08/1995,73:30,STS,980,50,E
1995,Irving,伊文,9506,1,1,18/08/1995,19/08/1995,35:15,TS,996,400,SW
1995,Lois,洛伊斯,9509,1,1,27/08/1995,28/08/1995,20:20,STS,998,530,S
1995,Kent,肯特,9508,8,1,30/08/1995,01/09/1995,36:15,ST,975,80,NNE
1995,Nina,蓮娜,9511,1,1,06/09/1995,07/09/1995,24:30,TS,994,380,SW
1995,Ryan,萊恩,9514,1,1,19/09/1995,21/09/1995,37:15,ST,945,400,SSE
1995,Sibyl,斯寶,9515,8,1,01/10/1995,03/10/1995,51:00,T,970,290,SW
1996,Frankie,法蘭基,9607,1,1,21/07/1996,22/07/1996,32:00,STS,975,530,SW
1996,Gloria,姬羅莉亞,9608,1,1,26/07/1996,27/07/1996,19:15,T,992,280,NNE
1996,Lisa,麗莎,9611,1,1,06/08/1996,06/08/1996,11:30,TD,996,160,ESE
1996,Niki,麗潔,9613,1,1,20/08/1996,21/08/1996,37:00,T,975,540,S
1996,Sally,莎莉,9616,8,1,08/09/1996,09/09/1996,29:15,ST,955,180,S
1996,Willie,威利,9619,1,1,18/09/1996,20/09/1996,33:45,STS,984,390,SW
1996,Beth,貝芙,9622,1,1,19/10/1996,20/10/1996,26:15,T,980,500,SSE
1997,Victor,維克托,9712,9,1,31/07/1997,03/08/1997,62:45,T,970,10,W
1997,Zita,思蒂,9715,3,1,20/08/1997,22/08/1997,34:45,T,980,240,S
1998,Penny,彭妮,9803,3,1,09/08/1998,10/08/1998,37:10,STS,985,240,SSW
1998,no name,無名,NR,1,1,21/08/1998,22/08/1998,21:50,TD,1004,350,SW
1998,no name,無名,NR,1,1,12/09/1998,13/09/1998,34:15,TD,998,210,S
1998,Zeb,謝柏,9810,1,1,15/10/1998,16/10/1998,24:05,SuperT,950,730,E
1998,Babs,寶絲,9811,3,1,23/10/1998,26/10/1998,71:15,ST,970,240,ESE
1999,Leo,利奧,9902,8,1,29/04/1999,02/05/1999,83:05,T,998,45,ESE
1999,Maggie,瑪姬,9903,9,1,05/06/1999,08/06/1999,54:15,T,975,5,NW
1999,no name,無名,9906,3,1,25/07/1999,27/07/1999,50:00,TS,985,120,SE
1999,Sam,森姆,9910,8,1,20/08/1999,23/08/1999,76:45,T,975,25,NE
1999,Wendy,芸蒂,9914,1,1,03/09/1999,04/09/1999,31:35,TS,996,230,ENE
1999,York,約克,9915,10,1,13/09/1999,17/09/1999,86:00,T,970,20,SSW
1999,Cam,錦雯,9919,8,1,24/09/1999,26/09/1999,53:40,STS,998,10,NNE
1999,Dan,丹尼,9920,3,1,05/10/1999,09/10/1999,84:40,T,965,400,E
2000,no name,無名,NR,3,1,18/06/2000,19/06/2000,4:30,TD,998,10,W
2000,Kai-tak,啟德,0004,1,1,06/07/2000,09/07/2000,61:55,T,965,530,ESE
2000,no name,無名,NR,1,1,15/07/2000,16/07/2000,30:40,TD,996,500,SW
2000,Bilis,碧利斯,0010,1,1,23/08/2000,23/08/2000,13:15,SuperT,970,430,NE
2000,Maria,瑪莉亞,0013,1,1,27/08/2000,29/08/2000,38:40,STS,996,220,SE
2000,Maria,瑪莉亞,0013,3,2,31/08/2000,01/09/2000,27:05,STS,980,100,ENE
2000,Wukong,悟空,0016,3,1,06/09/2000,09/09/2000,64:00,T,970,370,S
2000,Bebinca,貝碧嘉,0021,1,1,04/11/2000,08/11/2000,89:00,STS,1000,150,SSW
2001,Chebi,飛燕,0102,1,1,22/06/2001,23/06/2001,21:00,T,965,520,E
2001,Durian,榴槤,0103,3,1,30/06/2001,02/07/2001,49:40,T,975,340,SW
2001,Utor,尤特,0104,8,1,04/07/2001,07/07/2001,65:35,T,970,80,N
2001,Yutu,玉兔,0107,8,1,23/07/2001,26/07/2001,56:25,T,960,180,SSW
2001,Fitow,菲特,0114,1,1,28/08/2001,30/08/2001,30:30,TS,996,320,SSW
2001,Nari,百合,0116,3,1,19/09/2001,20/09/2001,30:25,T,996,90,N
